Time,RawValue,Label
22.979,309.67377891741876,relax
22.98,301.21727074976866,relax
22.981,302.20256695717626,relax
22.982,304.5300165678078,relax
22.983,302.76121503250386,relax
22.984,298.10123572531194,relax
22.985,302.10052016614713,relax
22.986,301.86365781270393,relax
22.987,306.5480107404709,relax
22.988,309.87747116003817,relax
22.989,310.6897735015155,relax
22.99,312.457939124131,relax
22.991,312.4771703991833,relax
22.992,313.6385764789916,relax
22.993,307.8844356534378,relax
22.994,309.02599277961957,relax
22.995,305.503554184632,relax
22.996,299.8834989354138,relax
22.997,305.0831948544411,relax
22.998,301.47102425974674,relax
22.999,303.1894386481393,relax
23.0,298.46454418337885,relax
23.001,303.87285494736847,relax
23.002,305.62899006572826,relax
23.003,306.45447011695273,relax
23.004,307.21142417059167,relax
23.005,311.50781765207654,relax
23.006,308.8106131805875,relax
23.007,311.40444552862675,relax
23.008,310.78411663969246,relax
23.009,308.0741530317778,relax
23.01,303.15313493692,relax
23.011,304.06934431373264,relax
23.012,307.51101582084857,relax
23.013,304.1863205172404,relax
23.014,301.55655545253825,relax
23.015,301.16940320336454,relax
23.016,300.06569690769624,relax
23.017,303.8684729097605,relax
23.018,301.41729145945345,relax
23.019,309.354015647817,relax
23.02,311.1122589356191,relax
23.021,308.27199855310977,relax
23.022,309.3005327683836,relax
23.023,312.5858282257988,relax
23.024,309.3862040779456,relax
23.025,309.40876347388803,relax
23.026,305.7987229800015,relax
23.027,303.21393688309183,relax
23.028,303.7504451724432,relax
23.029,302.8591800445296,relax
23.03,299.15995989128993,relax
23.031,301.0152369152978,relax
23.032,301.5675566267915,relax
23.033,302.5217090418842,relax
23.034,306.7931806882503,relax
23.035,309.2467560603623,relax
23.036,306.4378143397061,relax
23.037,308.7345496859771,relax
23.038,313.4793478416036,relax
23.039,315.0073586095144,relax
23.04,309.02031186185246,relax
23.041,307.65876206960985,relax
23.042,306.55211030674275,relax
23.043,305.82420403672796,relax
23.044,306.40187292891665,relax
23.045,305.2431046417958,relax
23.046,302.0996700756813,relax
23.047,303.4949023604599,relax
23.048,299.5141564986997,relax
23.049,304.33868816743,relax
23.05,306.4203788962786,relax
