Time,RawValue,FilteredValue,EnvelopeValue,Label
26.61461305618286,377.0,13.0,169.0,contract
26.61461305618286,391.0,33.0,1089.0,contract
26.618523120880127,280.0,39.0,1521.0,contract
26.618523120880127,275.0,11.0,121.0,contract
26.622157096862793,350.0,-15.0,225.0,contract
26.622157096862793,250.0,-19.0,361.0,contract
26.622157096862793,243.0,-28.0,784.0,contract
26.62683892250061,279.0,-38.0,1444.0,contract
26.62683892250061,276.0,-31.0,961.0,contract
26.62683892250061,306.0,-12.0,144.0,contract
26.62984800338745,376.0,13.0,169.0,contract
26.62984800338745,332.0,40.0,1600.0,contract
26.63502311706543,323.0,46.0,2116.0,contract
26.63502311706543,313.0,31.0,961.0,contract
26.63502311706543,254.0,7.0,0.0,contract
26.638795137405396,316.0,-13.0,169.0,contract
26.638795137405396,301.0,-15.0,225.0,contract
26.638795137405396,320.0,-6.0,0.0,contract
26.64280390739441,297.0,0.0,0.0,contract
26.64280390739441,230.0,-7.0,0.0,contract
26.64280390739441,316.0,-21.0,441.0,contract
26.646804094314575,349.0,-11.0,121.0,contract
26.646804094314575,325.0,13.0,169.0,contract
26.651395082473755,326.0,25.0,625.0,contract
26.651395082473755,280.0,18.0,324.0,contract
26.651395082473755,270.0,-1.0,0.0,contract
26.655472993850708,259.0,-19.0,361.0,contract
26.655472993850708,359.0,-17.0,289.0,contract
26.655472993850708,298.0,4.0,0.0,contract
26.65858483314514,272.0,14.0,196.0,contract
26.65858483314514,318.0,7.0,0.0,contract
26.65858483314514,344.0,11.0,121.0,contract
26.66259264945984,282.0,17.0,289.0,contract
26.66259264945984,337.0,14.0,196.0,contract
26.667798042297363,383.0,19.0,361.0,contract
26.667798042297363,297.0,27.0,729.0,contract
26.667798042297363,278.0,11.0,121.0,contract
26.670894384384155,311.0,-11.0,121.0,contract
26.670894384384155,290.0,-20.0,400.0,contract
26.675650119781494,276.0,-22.0,484.0,contract
26.675650119781494,284.0,-22.0,484.0,contract
26.675650119781494,331.0,-16.0,256.0,contract
26.679707765579224,339.0,3.0,0.0,contract
26.679707765579224,265.0,13.0,169.0,contract
26.679707765579224,241.0,-2.0,0.0,contract
26.684197902679443,265.0,-24.0,576.0,contract
